Stock,Mentions
ARD,611
AMC,589
RETA,466
INT,356
GME,333
EAR,319
PRO,318
IONS,309
THO,305
MEN,295
WOR,293
GRA,291
LIN,291
AME,275
IDE,272
ATI,264
ESS,260
GOOD,254
BLE,251
LEA,251
VERY,236
FRO,235
NLY,233
SOL,233
SHI,232
GAIN,231
OPT,221
CLOV,211
EAT,206
PRI,201
PEN,193
REAL,192
RIG,192
OMP,188
BAC,185
STE,185
TEN,184
RAD,182
EME,178
ITI,176
MAR,176
CHE,168
MIN,164
TAK,162
TAL,161
PEO,160
EXP,158
TEL,154
ELY,152
MUC,151
OKE,151
INVE,145
HEI,144
BRO,142
RICE,141
POST,139
UAL,139
DOW,137
PROF,137
TTI,137
IDN,134
HIG,132
MOV,132
NEE,131
HAPP,129
CAR,128
SAM,128
WORK,128
HES,126
POR,125
AFT,123
MAT,123
ESE,119
MPA,119
NEX,118
PLAY,118
FORE,116
FUN,116
NEXT,113
CAS,112
OSS,111
ADI,110
SPE,109
PAR,108
TRU,108
ACC,107
GAM,107
COMM,104
MOS,103
NEV,103
TRI,103
MARK,102
NGS,102
SON,102
ITT,101
ETH,100
ORN,97
NNA,96
ENS,95
IRS,95
THR,95
ASH,94
AIT,93
MET,92
AYI,90
ELF,90
ERES,90
SELF,90
EDI,89
ACH,88
NAN,88
CIA,85
FUL,83
ELS,82
FREE,80
NICE,80
ADV,79
HAL,79
WEN,79
EARN,78
RADI,78
NTR,77
ACCO,76
CCO,76
FUND,76
COR,75
DEA,75
SID,75
HIL,74
STOR,73
MED,72
SUP,72
LAC,71
ARDS,70
TTP,70
UTI,69
WISH,69
ALLE,68
RIO,68
CEN,67
CHI,67
EMO,67
ROP,67
GER,66
HOOK,66
AIR,65
ALK,65
EAST,65
ALT,64
NTRA,64
THS,64
CARE,63
EDD,63
TELL,63
LEG,62
LIFE,62
WAL,62
DEN,61
RYI,61
WAT,61
ARL,60
BIT,60
CAP,60
NYT,60
AMN,59
OPP,59
PING,59
SOR,59
TURN,59
ENO,58
CASH,57
CTS,57
ESTE,57
EXPE,57
JAN,57
ATH,56
LWAY,56
ROCK,56
FORM,55
HON,55
SIG,55
PAI,54
ROK,54
VALU,54
DIS,53
HEC,53
CAT,52
BEST,51
COST,51
ENTA,51
GES,51
PAC,51
CENT,50
LITE,50
ORI,50
VIE,50
ARI,49
HONE,49
IDA,48
TME,48
AGR,46
RIV,46
DRI,45
EXC,45
EXPI,45
OMI,45
NET,44
STRA,44
EARS,43
ELSE,43
KEN,43
LAD,43
VEL,43
AGI,42
PLAN,42
STM,42
TREE,42
WING,42
BLI,41
ELP,41
IFF,41
ROL,41
ASO,40
MORN,40
NAT,40
REG,40
CIT,39
COUP,39
REV,39
NNY,38
NUM,38
STRO,38
WOW,38
ALE,37
SAN,37
STL,37
STON,37
FLO,35
INN,35
LEN,35
SIC,35
BASI,34
DRE,34
ERF,34
HEAR,34
MIND,34
RUN,34
URI,34
HROW,33
NIE,33
PACK,33
RAND,33
ROLL,33
STIC,33
ARR,32
GENE,32
SUM,32
WWW,32
ANDE,31
MUS,31
NGL,31
TUP,31
API,30
FORD,30
GLAD,30
NNI,30
OVID,30
PERI,30
TAC,30
TOL,30
ADS,29
EFT,29
INO,29
LIVE,29
MOD,29
SCA,29
SPI,29
TOT,29
ATA,28
HUN,28
JACK,28
NCR,28
OGE,28
OPI,28
RIVE,28
SAL,28
BILL,27
MAS,27
NEA,27
PPR,27
RCI,27
RSI,27
WES,27
ARC,26
BLIN,26
COLL,26
EMP,26
MIC,26
PROV,26
SMAR,26
ANTE,25
CASI,25
CLA,25
GURE,25
LSTR,25
MAIN,25
NIU,25
ORA,25
WEA,25
ADES,24
COO,24
ETB,24
NOK,24
PEAK,24
SECO,24
SITE,24
ALLO,23
AVO,23
DUC,23
FAM,23
HOME,23
IRL,23
PPL,23
REED,23
SPR,23
UNIT,23
XPER,23
CARS,22
CREE,22
ENJ,22
ETW,22
GROW,22
IRM,22
KEP,22
ARCH,21
BEAT,21
EBR,21
ESI,21
HUM,21
ICL,21
SINO,21
STAY,21
ASTE,20
ATO,20
AUTO,20
BUI,20
FAMI,20
RVI,20
SAF,20
BUR,19
PAND,19
RLI,19
SAFE,19
SAVE,19
SHIP,19
BILI,18
CERN,18
CORR,18
ELC,18
FUTU,18
NUE,18
OCA,18
SKY,18
TECH,18
WRI,18
AIG,17
DAR,17
ENG,17
ERIE,17
ESSA,17
GNE,17
IGI,17
NATI,17
NVO,17
SONA,17
WNS,17
ATR,16
BUD,16
CRI,16
CRY,16
DEO,16
DLY,16
GAN,16
ORC,16
SFE,16
WEI,16
AMP,15
ATHE,15
BOOM,15
CERT,15
CHW,15
FAST,15
FFIC,15
FRA,15
IGA,15
NUS,15
PUMP,15
RICK,15
RKT,15
SAGE,15
SCHW,15
TEX,15
WAB,15
ANGI,14
CLI,14
CLNE,14
CTR,14
EFF,14
EXTR,14
KIDS,14
MASS,14
NSA,14
ORGO,14
PAG,14
PLUS,14
REPL,14
SWI,14
AVA,13
BEN,13
CEL,13
CIF,13
CRUS,13
EIG,13
ESEA,13
HRI,13
IRT,13
IVA,13
LEE,13
MAC,13
NOM,13
ONDS,13
RBA,13
UPS,13
VERI,13
BBY,12
CIR,12
DAN,12
DVA,12
EDU,12
ETR,12
FUSE,12
HAIN,12
MMI,12
NIO,12
NKE,12
NSP,12
PACE,12
RDI,12
SPOT,12
TRIP,12
ACI,11
AHH,11
BAND,11
EBS,11
EDUC,11
EHI,11
ELAT,11
EPR,11
ERIC,11
EVA,11
EYE,11
GOOG,11
GOOGL,11
KEY,11
LEAP,11
MGU,11
MMU,11
NEM,11
NIM,11
OSH,11
RNA,11
RNET,11
ROAD,11
TACT,11
TWI,11
ACA,10
APA,10
CENTA,10
CURI,10
ESNT,10
GHL,10
INSI,10
MMM,10
PRA,10
RMI,10
UBS,10
XEC,10
CEM,9
CHN,9
CTIC,9
DESP,9
EGY,9
GOL,9
HCA,9
HCAR,9
ISTR,9
LANC,9
LOGI,9
NAD,9
NSH,9
OGI,9
OMER,9
OMF,9
PATI,9
PENN,9
RDS.A,9
SHOO,9
SPCE,9
SSSS,9
SUI,9
TAST,9
THC,9
THCA,9
TIG,9
TOWN,9
VIR,9
AKER,8
ALC,8
AMAT,8
AVY,8
BBI,8
BENE,8
CADE,8
CARR,8
CCEP,8
COP,8
CUZ,8
