Stock,Post Mentions,Comment Mentions,Sentiment score
FB,0,19,0.56
AAPL,0,15,0.69
MSFT,0,11,0.9
NVDA,1,10,0.8
AMD,0,9,0.44
DAL,1,6,0.5
IRS,1,6,0.67
GOOGL,0,5,0.25
AR,0,5,0.5
AMZN,0,4,0.67
UAL,0,4,0.5
SQ,0,3,0.5
GOOG,0,3,0.33
BABA,0,2,0.5
DKNG,0,2,0.5
NFLX,0,1,1.0
IBM,0,1,1.0
EV,0,1,1.0
BB,0,1,1.0
PM,0,1,1.0
PS,0,1,1.0
BYD,0,1,1.0
PENN,0,1,1.0
GM,0,1,1.0
EOG,1,0,0
UBS,1,0,0
W,1,0,0
ATH,1,0,0
JP,1,0,0
XPO,1,0,0
